n213	n163	25.9	9.93	21
n74	n70	49.0	2.22e-75	272
n74	n51	49.1	7.15e-74	267
n74	n7	49.1	7.15e-74	267
n74	n19	47.3	9.34e-74	267
n74	n66	47.8	9.34e-74	267
n74	n21	51.3	3e-72	262
n74	n1	52.0	3e-72	262
n74	n47	51.3	3e-72	262
n74	n61	46.1	6.27e-70	254
n74	n36	49.1	1.4e-69	253
n74	n60	44.3	5.3e-69	251
n74	n71	44.9	5.3e-69	251
n74	n59	45.5	5.3e-69	251
n74	n41	46.2	3.22e-66	242
n74	n20	44.5	2.72e-65	239
n74	n43	40.3	7.44e-55	204
n74	n67	35.0	6.77e-32	128
n74	n50	32.1	4.39e-31	125
n74	n40	29.7	5.55e-26	108
n74	n63	27.5	1.85e-21	93
n74	n38	25.6	3.38e-15	72
n74	n65	28.4	4.89e-06	42
n74	n3	23.0	4.89e-06	42
n74	n35	22.2	6.38e-06	42
n74	n37	25.8	1.86e-05	40
n74	n17	30.1	9.22e-05	38
n74	n39	20.9	0.00102	34
n74	n49	26.7	0.00133	34
n74	n39	22.4	1.38	24
n74	n49	24.6	1.8	23
n73	n53	62.2	7.07e-96	341
n73	n6	57.6	1.57e-95	339
n73	n62	60.7	9.55e-93	330
n73	n52	60.1	2.13e-92	329
n73	n5	58.1	8.94e-91	324
n73	n2	60.1	3.76e-89	318
n73	n9	55.2	2.44e-88	315
n73	n72	56.2	2.44e-88	315
n73	n24	54.5	1.21e-87	313
n73	n54	59.1	2.06e-87	312
n73	n64	57.3	4.59e-87	311
n73	n16	56.9	4.75e-84	301
n73	n56	56.0	1.81e-83	299
n73	n57	55.3	8.96e-83	297
n73	n27	50.7	8.96e-83	297
n73	n22	50.7	8.96e-83	297
n73	n55	54.9	4.45e-82	295
n73	n44	51.0	7.59e-82	294
n73	n46	51.0	7.59e-82	294
n73	n15	51.0	7.59e-82	294
n73	n29	50.7	1.29e-81	293
n73	n45	50.7	1.69e-81	293
n73	n14	50.7	1.69e-81	293
n73	n25	50.3	4.92e-81	291
n73	n23	51.0	4.92e-81	291
n73	n58	53.7	8.39e-81	290
n73	n30	53.4	7.85e-79	284
n73	n11	53.4	7.85e-79	284
n73	n12	53.1	1.03e-78	283
n73	n31	53.1	1.03e-78	283
n73	n8	53.2	2.98e-78	282
n73	n26	53.1	3.9e-78	282
n73	n13	52.7	8.68e-78	280
n73	n10	52.7	2.14e-76	276
n73	n32	50.9	5.82e-74	268
n73	n28	47.5	5.82e-74	268
n73	n18	49.3	1.87e-72	263
n73	n42	45.8	1.87e-72	263
n73	n33	49.4	8.7e-70	254
n73	n51	46.0	7.37e-69	251
n73	n34	48.2	3.66e-68	248
n73	n68	45.2	3.09e-67	245
n73	n66	46.6	2.01e-66	243
n73	n1	44.6	1.22e-63	233
n73	n70	43.3	1.22e-63	233
n73	n4	44.6	1.22e-63	233
n73	n7	44.3	3.54e-63	232
n73	n69	45.8	4.62e-63	231
n73	n47	43.5	6.04e-63	231
n73	n21	43.5	6.04e-63	231
n73	n41	44.4	2.3e-62	229
n73	n19	43.0	8.72e-62	227
n73	n71	43.2	1.14e-61	227
n73	n59	42.1	1.26e-60	223
n73	n61	46.5	4.79e-60	221
n73	n36	44.9	6.25e-60	221
n73	n60	45.0	6.91e-59	218
n73	n20	42.0	4.64e-55	205
n73	n43	36.9	2.63e-50	189
n73	n67	30.3	1.89e-32	130
n73	n50	26.1	1.9e-24	103
n73	n63	27.1	5.72e-21	92
n73	n40	30.2	2.03e-18	83
n73	n38	29.3	1.51e-13	67
n73	n3	27.7	8.57e-09	51
n73	n35	26.5	1.46e-08	50
n73	n37	32.4	0.000128	37
n73	n39	25.9	0.00083	35
n73	n37	33.3	0.00142	34
n73	n17	29.5	0.00241	33
n73	n49	25.2	0.00917	31
n73	n65	22.1	0.101	28
n72	n53	70.9	8.29e-108	380
n72	n52	68.6	1.73e-105	372
n72	n24	62.2	2.26e-105	372
n72	n62	68.8	2.95e-105	372
n72	n16	67.9	4.26e-104	368
n72	n29	60.1	3.05e-102	362
n72	n5	62.7	6.8e-102	361
n72	n46	58.7	2.19e-100	356
n72	n15	58.7	2.19e-100	356
n72	n44	58.7	2.19e-100	356
n72	n23	59.5	2.86e-100	355
n72	n45	58.9	3.73e-100	355
n72	n14	58.9	3.73e-100	355
n72	n6	62.1	1.09e-99	353
n72	n25	58.6	1.42e-99	353
n72	n27	58.6	1.85e-99	352
n72	n22	58.6	1.85e-99	352
n72	n54	65.3	1.73e-97	346
n72	n2	64.9	2.26e-97	346
n72	n64	63.9	1.92e-96	342
n72	n12	61.5	3.61e-95	338
n72	n31	61.5	3.61e-95	338
n72	n11	61.1	4.72e-95	338
n72	n30	61.1	4.72e-95	338
n72	n8	60.8	1.37e-94	336
n72	n26	60.7	1.79e-94	336
n72	n13	60.7	2.34e-94	335
n72	n10	59.9	1.86e-91	326
n72	n9	54.8	3.16e-91	325
n72	n28	57.2	5.97e-90	321
n72	n32	54.5	2.77e-87	312
n72	n33	54.5	1.02e-81	294
n72	n57	56.8	1.33e-81	293
n72	n56	56.4	1.74e-81	293
n72	n55	56.2	3.88e-81	292
n72	n34	51.9	5.79e-77	278
n72	n58	50.3	4.91e-76	275
n72	n18	47.9	4.75e-71	258
n72	n69	47.6	1.81e-70	256
n72	n68	46.2	1.81e-70	256
n72	n7	45.1	2.36e-70	256
n72	n66	44.1	3.4e-69	252
n72	n42	47.6	1.1e-67	247
n72	n19	44.7	1.1e-67	247
n72	n47	45.0	3.19e-67	245
n72	n21	45.0	3.19e-67	245
n72	n4	45.8	2.7e-66	242
n72	n61	45.3	1.75e-65	240
n72	n51	44.3	2.98e-65	239
n72	n70	43.5	3.3e-64	235
n72	n1	44.5	1.25e-63	233
n72	n60	41.3	4.76e-63	231
n72	n36	43.1	8.12e-63	231
n72	n59	38.9	2.21e-60	223
n72	n71	39.9	4.93e-60	221
n72	n41	43.4	3.53e-58	215
n72	n20	41.6	7.87e-58	214
n72	n43	36.1	4.62e-50	188
n72	n50	29.4	1.15e-24	104
n72	n67	29.8	7.43e-24	101
n72	n40	29.6	1.66e-23	100
n72	n63	27.2	3.12e-22	96
n72	n38	26.8	5.9e-13	65
n72	n3	25.3	9.75e-08	48
n72	n35	24.5	4.84e-07	45
n72	n17	29.4	0.000225	37
n72	n65	27.9	0.000501	35
n72	n37	24.3	0.00325	33
n72	n49	23.5	0.0123	31
n72	n39	20.4	0.0275	30
n72	n42	31.0	0.136	27
n71	n59	80.9	9.57e-146	506
n71	n51	60.6	2.01e-111	392
n71	n20	57.8	5.5e-101	357
n71	n36	57.7	5.5e-101	357
n71	n66	55.4	3.33e-98	348
n71	n68	54.5	4.35e-98	348
n71	n7	53.5	6.95e-96	341
n71	n61	55.2	1.71e-94	336
n71	n19	52.5	1.77e-91	326
n71	n60	57.7	6.73e-91	324
n71	n4	52.9	2.65e-87	312
n71	n42	52.0	1.72e-86	309
n71	n18	51.0	1.23e-84	303
n71	n47	52.6	5.71e-82	294
n71	n21	52.6	5.71e-82	294
n71	n1	51.4	1.08e-80	290
n71	n70	47.9	6.33e-73	264
n71	n27	44.7	3.84e-70	255
n71	n22	44.7	3.84e-70	255
n71	n41	44.6	5.02e-70	255
n71	n25	45.1	1.12e-69	253
n71	n44	44.7	1.91e-69	253
n71	n46	44.7	1.91e-69	253
n71	n15	44.7	1.91e-69	253
n71	n14	44.8	2.49e-69	252
n71	n45	44.8	2.49e-69	252
n71	n29	44.4	5.55e-69	251
n71	n23	45.1	2.11e-68	249
n71	n30	47.5	2.75e-68	249
n71	n11	47.5	2.75e-68	249
n71	n12	46.8	3.6e-68	248
n71	n31	46.8	3.6e-68	248
n71	n26	47.5	4.7e-68	248
n71	n5	48.1	6.13e-68	248
n71	n57	45.6	2.33e-67	246
n71	n16	46.6	3.04e-67	245
n71	n13	47.2	3.04e-67	245
n71	n43	48.0	3.97e-67	245
n71	n56	45.2	8.86e-67	244
n71	n6	46.7	8.86e-67	244
n71	n8	46.2	8.86e-67	244
n71	n55	45.2	1.51e-66	243
n71	n33	46.2	2.58e-66	242
n71	n62	47.3	4.39e-66	242
n71	n53	47.0	5.74e-66	241
n71	n10	46.8	5.74e-66	241
n71	n52	47.0	1.08e-64	237
n71	n34	45.8	5.37e-64	235
n71	n64	44.0	3.48e-63	232
n71	n24	44.9	1.32e-62	230
n71	n69	43.0	2.5e-61	226
n71	n54	43.4	4.26e-61	225
n71	n2	43.0	1.62e-60	223
n71	n32	42.7	1.51e-58	216
n71	n58	39.6	4.4e-58	215
n71	n9	41.7	2.42e-56	209
n71	n28	37.9	2.05e-55	206
n71	n67	35.6	5.05e-46	175
n71	n50	29.8	4.15e-32	129
n71	n63	27.7	2.88e-25	106
n71	n40	25.4	3.09e-19	86
n71	n37	26.1	0.00529	32
n71	n49	24.8	0.0262	30
n71	n17	23.8	7.15	22
n70	n42	54.5	1.58e-84	303
n70	n27	51.1	2e-79	286
n70	n22	51.1	2e-79	286
n70	n18	49.2	1.69e-78	283
n70	n1	51.0	2.88e-78	282
n70	n68	52.0	3.77e-78	282
n70	n7	50.9	6.43e-78	281
n70	n4	50.7	1.43e-77	280
n70	n66	49.8	4.17e-77	278
n70	n29	48.6	5.44e-77	278
n70	n23	49.5	1.21e-76	277
n70	n6	53.9	2.7e-76	275
n70	n69	47.8	4.61e-76	275
n70	n47	52.3	4.61e-76	275
n70	n21	52.3	4.61e-76	275
n70	n46	47.9	7.86e-76	274
n70	n44	47.9	7.86e-76	274
n70	n15	47.9	7.86e-76	274
n70	n51	49.8	2.29e-75	272
n70	n14	47.6	5.09e-75	271
n70	n45	47.6	5.09e-75	271
n70	n25	47.6	6.65e-75	271
n70	n60	50.4	1.13e-74	270
n70	n53	53.3	1.48e-74	270
n70	n26	49.8	1.94e-74	269
n70	n13	49.8	2.53e-74	269
n70	n61	46.3	2.53e-74	269
n70	n62	49.6	4.31e-74	268
n70	n36	50.7	1.25e-73	267
n70	n9	47.3	1.25e-73	267
n70	n33	51.3	1.64e-73	266
n70	n8	49.1	1.64e-73	266
n70	n11	49.1	2.14e-73	266
n70	n30	49.1	2.14e-73	266
n70	n52	51.1	3.65e-73	265
n70	n59	47.3	8.13e-73	264
n70	n19	44.7	1.06e-72	263
n70	n31	48.7	1.39e-72	263
n70	n12	48.7	1.39e-72	263
n70	n10	48.0	3.42e-71	258
n70	n16	49.4	3.42e-71	258
n70	n54	49.1	9.94e-71	257
n70	n5	50.2	9.94e-71	257
n70	n32	45.3	1.7e-70	256
n70	n2	48.3	1.87e-69	253
n70	n34	50.5	2.45e-69	252
n70	n64	48.3	7.12e-69	251
n70	n24	45.8	3.53e-68	248
n70	n41	45.4	1.34e-67	247
n70	n20	47.0	4.32e-66	242
n70	n58	44.0	8.43e-62	227
n70	n56	46.8	7.14e-61	224
n70	n28	41.8	1.59e-60	223
n70	n57	45.7	6.04e-60	221
n70	n55	46.1	6.04e-60	221
n70	n43	39.3	4.64e-52	195
n70	n67	36.6	5.49e-45	171
n70	n50	32.9	1.66e-33	133
n70	n63	29.9	3.46e-31	126
n70	n40	29.7	1.66e-25	107
n70	n38	32.1	7.72e-23	98
n70	n17	24.1	0.00398	32
n70	n37	28.7	0.0052	32
n70	n49	29.6	0.0198	30
n70	n39	24.4	0.0751	28
n69	n46	56.8	2.66e-89	319
n69	n44	56.8	2.66e-89	319
n69	n15	56.8	2.66e-89	319
n69	n29	56.8	7.73e-89	317
n69	n30	60.8	2.25e-88	315
n69	n11	60.8	2.25e-88	315
n69	n13	61.2	2.94e-88	315
n69	n26	60.4	6.55e-88	314
n69	n25	57.6	1.12e-87	313
n69	n14	57.6	2.49e-87	312
n69	n45	57.6	2.49e-87	312
n69	n8	58.5	4.24e-87	311
n69	n31	61.2	1.23e-86	310
n69	n12	61.2	1.23e-86	310
n69	n10	60.4	1.61e-86	309
n69	n22	54.9	1.97e-84	302
n69	n27	54.9	1.97e-84	302
n69	n23	54.8	3.72e-83	298
n69	n62	56.0	3.48e-81	292
n69	n16	53.9	2.94e-80	289
n69	n64	53.9	9.47e-79	283
n69	n53	53.2	2.11e-78	282
n69	n52	55.1	6.14e-78	281
n69	n24	50.4	5.75e-76	274
n69	n9	51.1	9.8e-76	273
n69	n33	51.2	3.73e-75	272
n69	n5	50.5	1.08e-74	270
n69	n42	51.0	2.41e-74	269
n69	n34	51.9	3.15e-74	268
n69	n6	50.0	1.57e-73	266
n69	n4	48.3	4.55e-73	265
n69	n54	51.2	1.46e-71	260
n69	n18	45.9	2.5e-71	259
n69	n2	50.8	7.27e-71	257
n69	n1	48.4	1.98e-68	249
n69	n21	47.4	3.73e-67	245
n69	n47	47.4	3.73e-67	245
n69	n32	44.7	5.39e-66	241
n69	n59	45.4	2.96e-64	235
n69	n56	46.3	6.59e-64	234
n69	n28	48.6	6.59e-64	234
n69	n55	46.3	5.58e-63	231
n69	n57	45.9	7.29e-63	231
n69	n68	48.1	1.62e-62	230
n69	n7	46.5	1.62e-62	230
n69	n36	46.6	2.77e-62	229
n69	n51	46.7	6.82e-61	224
n69	n66	46.5	8.91e-61	224
n69	n19	40.8	4.42e-60	221
n69	n61	41.4	4.42e-60	221
n69	n60	44.5	5.4e-58	215
n69	n20	45.2	7.06e-58	214
n69	n41	44.4	9.22e-58	214
n69	n58	43.8	5.98e-57	211
n69	n43	35.6	4.29e-47	178
n69	n67	35.1	1.03e-32	131
n69	n50	32.3	1.48e-31	127
n69	n63	28.6	6.88e-29	118
n69	n40	28.6	7.37e-23	98
n69	n38	28.4	9.33e-18	81
n69	n17	24.0	0.000344	36
n69	n39	21.4	0.000449	35
n69	n65	28.0	0.00131	34
n69	n37	23.4	0.0247	30
n69	n49	25.4	0.0322	29
n69	n3	22.2	0.0322	29
n69	n37	26.7	0.0421	29
n69	n35	20.8	0.122	27
n69	n49	38.9	1.77	23
n68	n66	92.1	1.18e-167	579
n68	n7	88.4	2.16e-161	558
n68	n19	73.4	5.54e-133	464
n68	n61	71.3	1.12e-125	439
n68	n60	66.8	4.4e-122	428
n68	n36	58.0	9.84e-106	373
n68	n51	57.9	9.21e-104	367
n68	n59	54.1	1.02e-94	337
n68	n20	54.4	1.8e-91	326
n68	n42	56.9	1.69e-89	319
n68	n18	51.2	3.89e-86	308
n68	n4	49.0	1.69e-81	293
n68	n1	50.0	6.42e-81	291
n68	n45	49.3	1.34e-78	283
n68	n14	49.3	1.34e-78	283
n68	n25	49.0	3.9e-78	282
n68	n44	49.7	5.09e-78	281
n68	n29	49.3	5.09e-78	281
n68	n15	49.7	5.09e-78	281
n68	n46	49.7	5.09e-78	281
n68	n21	49.1	3.3e-77	278
n68	n47	49.1	3.3e-77	278
n68	n62	54.0	7.35e-77	277
n68	n22	49.0	9.6e-77	277
n68	n27	49.0	9.6e-77	277
n68	n31	51.7	1.25e-76	277
n68	n12	51.7	1.25e-76	277
n68	n30	52.0	6.22e-76	274
n68	n11	52.0	6.22e-76	274
n68	n52	52.3	2.36e-75	272
n68	n16	51.8	2.36e-75	272
n68	n26	51.3	6.88e-75	271
n68	n13	51.3	8.98e-75	270
n68	n8	51.3	1.53e-74	270
n68	n53	50.9	2.61e-74	269
n68	n6	50.5	3.41e-74	268
n68	n23	47.2	4.46e-74	268
n68	n64	51.5	4.46e-74	268
n68	n10	51.3	1.3e-73	267
n68	n41	46.5	2.89e-73	265
n68	n24	49.8	3.77e-73	265
n68	n33	47.6	1.94e-69	253
n68	n54	49.6	4.32e-69	252
n68	n56	48.1	1.64e-68	250
n68	n57	47.7	2.14e-68	249
n68	n2	49.2	4.77e-68	248
n68	n55	47.3	1.39e-67	247
n68	n5	45.9	9e-67	244
n68	n34	46.0	5.84e-66	241
n68	n32	44.9	5.84e-66	241
n68	n43	43.1	1.7e-65	240
n68	n9	42.6	4.62e-63	231
n68	n28	43.3	1.35e-62	230
n68	n58	41.7	4.33e-61	225
n68	n67	39.3	7.42e-45	171
n68	n50	31.8	3.45e-34	136
n68	n63	29.8	7.71e-26	108
n68	n40	28.0	5e-25	105
n68	n38	27.7	2.1e-15	73
n68	n49	27.9	1.51e-05	40
n68	n37	30.1	1.97e-05	40
n68	n3	27.0	3.37e-05	39
n67	n42	41.5	2.21e-51	193
n67	n60	40.2	4.61e-49	185
n67	n61	38.6	4.77e-46	175
n67	n19	38.0	2.37e-45	173
n67	n21	38.7	3.09e-45	173
n67	n47	38.7	3.09e-45	173
n67	n1	38.8	4.04e-45	172
n67	n7	39.0	8.99e-45	171
n67	n36	39.8	1.53e-44	170
n67	n66	39.3	4.46e-44	169
n67	n4	36.6	1.87e-42	163
n67	n59	34.0	9.3e-42	161
n67	n18	34.1	2.07e-41	160
n67	n20	33.3	1.34e-40	157
n67	n33	36.0	1.75e-40	157
n67	n34	37.2	8.71e-40	154
n67	n51	34.9	1.49e-39	154
n67	n41	33.2	2.8e-38	149
n67	n32	33.7	6.9e-37	145
n67	n50	33.2	1.1e-34	138
n67	n58	34.1	1.1e-34	138
n67	n9	36.2	3.2e-34	136
n67	n27	36.9	1.59e-33	134
n67	n22	36.9	1.59e-33	134
n67	n53	33.6	6.04e-33	132
n67	n57	35.7	7.89e-33	131
n67	n54	33.7	1.35e-32	131
n67	n52	34.3	1.35e-32	131
n67	n2	33.7	1.76e-32	130
n67	n56	35.7	2.3e-32	130
n67	n62	32.4	5.12e-32	129
n67	n10	35.2	8.73e-32	128
n67	n55	35.3	8.73e-32	128
n67	n25	35.7	1.14e-31	127
n67	n31	35.7	1.49e-31	127
n67	n45	35.7	1.49e-31	127
n67	n8	34.6	1.49e-31	127
n67	n14	35.7	1.49e-31	127
n67	n12	35.7	1.49e-31	127
n67	n11	35.2	1.94e-31	127
n67	n15	35.2	1.94e-31	127
n67	n46	35.2	1.94e-31	127
n67	n30	35.2	1.94e-31	127
n67	n44	35.2	1.94e-31	127
n67	n26	35.2	1.94e-31	127
n67	n23	35.6	2.54e-31	126
n67	n6	34.2	3.32e-31	126
n67	n43	32.7	7.39e-31	125
n67	n29	35.2	9.65e-31	124
n67	n13	34.8	3.67e-30	122
n67	n16	31.4	4.79e-30	122
n67	n64	31.5	3.1e-29	119
n67	n24	31.3	5.29e-29	119
n67	n5	32.3	6.91e-29	118
n67	n28	33.6	2.46e-26	110
n67	n63	30.3	8.75e-24	101
n67	n40	27.9	3.8e-19	86
n67	n38	25.9	4.07e-13	66
n67	n3	30.2	0.00101	35
n67	n35	28.4	0.00382	33
n67	n37	31.8	0.0941	28
n67	n39	25.0	0.21	27
n67	n49	35.9	5.16	22
n67	n37	33.3	5.16	22
n67	n49	36.4	6.74	22
n66	n7	85.8	2.47e-157	545
n66	n19	73.7	1.61e-132	462
n66	n61	71.6	3.48e-127	445
n66	n60	68.0	5.55e-125	437
n66	n36	56.5	1.42e-104	369
n66	n51	56.1	7.3e-101	357
n66	n59	55.3	7.07e-96	341
n66	n20	52.9	2.88e-89	319
n66	n42	53.2	7.08e-88	314
n66	n18	49.3	4.75e-84	301
n66	n4	50.8	1.29e-81	293
n66	n1	49.5	3.9e-78	282
n66	n27	48.3	2.79e-76	275
n66	n22	48.3	2.79e-76	275
n66	n21	48.5	8.13e-76	274
n66	n47	48.5	8.13e-76	274
n66	n52	53.0	2.36e-75	272
n66	n14	46.8	5.27e-75	271
n66	n45	46.8	5.27e-75	271
n66	n62	52.2	8.98e-75	270
n66	n29	46.8	1.53e-74	270
n66	n25	46.5	1.53e-74	270
n66	n44	46.8	4.46e-74	268
n66	n15	46.8	4.46e-74	268
n66	n46	46.8	4.46e-74	268
n66	n16	51.9	5.82e-74	268
n66	n23	47.2	5.82e-74	268
n66	n53	51.3	9.93e-74	267
n66	n31	50.2	1.3e-73	267
n66	n12	50.2	1.3e-73	267
n66	n24	46.2	6.44e-73	264
n66	n11	50.2	1.87e-72	263
n66	n64	50.9	1.87e-72	263
n66	n30	50.2	1.87e-72	263
n66	n6	50.9	2.45e-72	262
n66	n26	49.8	7.12e-72	261
n66	n13	49.8	9.3e-72	260
n66	n41	44.1	1.21e-71	260
n66	n8	49.8	1.59e-71	260
n66	n10	49.8	7.87e-71	257
n66	n33	47.6	1.26e-68	250
n66	n56	47.6	1.39e-67	247
n66	n54	48.1	1.39e-67	247
n66	n57	47.2	1.81e-67	246
n66	n2	48.3	2.01e-66	243
n66	n55	46.4	3.42e-66	242
n66	n32	44.0	4.47e-66	242
n66	n43	45.6	1.1e-64	237
n66	n34	45.0	3.2e-64	235
n66	n5	44.0	3.2e-64	235
n66	n9	41.8	1.49e-61	226
n66	n58	42.8	7.38e-61	224
n66	n28	41.8	9.64e-61	224
n66	n50	31.6	9.09e-35	138
n66	n63	29.5	4.52e-26	109
n66	n40	28.2	7.22e-24	101
n66	n38	28.8	3.25e-16	76
n66	n37	30.1	1.97e-05	40
n66	n49	27.9	1.97e-05	40
n66	n3	24.8	7.5e-05	38
n65	n49	27.1	5.16e-07	45
n65	n26	28.4	6.74e-07	45
n65	n13	28.4	6.74e-07	45
n65	n44	28.4	8.81e-07	44
n65	n8	28.4	8.81e-07	44
n65	n46	28.4	8.81e-07	44
n65	n15	28.4	8.81e-07	44
n65	n11	28.4	8.81e-07	44
n65	n30	28.4	8.81e-07	44
n65	n16	31.4	1.96e-06	43
n65	n23	32.3	9.74e-06	41
n65	n27	32.3	9.74e-06	41
n65	n10	27.6	9.74e-06	41
n65	n22	32.3	9.74e-06	41
n65	n37	28.0	1.27e-05	40
n65	n29	27.6	1.66e-05	40
n65	n25	27.7	1.66e-05	40
n65	n12	27.7	3.7e-05	39
n65	n14	27.7	3.7e-05	39
n65	n31	27.7	3.7e-05	39
n65	n45	27.7	3.7e-05	39
n65	n33	29.3	4.83e-05	39
n65	n9	26.2	0.000141	37
n65	n38	23.4	0.00024	36
n65	n34	27.3	0.000698	35
n65	n62	26.2	0.00203	33
n65	n52	24.5	0.00346	32
n65	n56	26.9	0.00771	31
n65	n57	26.9	0.0101	31
n65	n64	25.4	0.0101	31
n65	n47	26.9	0.0172	30
n65	n21	26.9	0.0172	30
n65	n4	25.0	0.0293	29
n65	n34	44.8	0.0383	29
n65	n58	34.0	0.05	28
n65	n53	23.9	0.05	28
n65	n18	23.1	0.19	27
n65	n28	52.0	0.248	26
n65	n24	21.5	0.248	26
n65	n32	23.7	0.553	25
n65	n20	34.3	3.58	22
n65	n43	44.0	3.58	22
n64	n53	70.0	5.8e-107	377
n64	n62	69.6	9.89e-107	376
n64	n52	67.7	2.88e-106	375
n64	n6	68.4	2.44e-105	372
n64	n5	66.8	8.11e-101	357
n64	n9	67.7	2e-99	352
n64	n27	66.7	2.61e-99	352
n64	n22	66.7	2.61e-99	352
n64	n11	65.9	4.45e-99	351
n64	n46	65.9	4.45e-99	351
n64	n44	65.9	4.45e-99	351
n64	n15	65.9	4.45e-99	351
n64	n30	65.9	4.45e-99	351
n64	n16	65.9	1.29e-98	349
n64	n24	66.0	1.29e-98	349
n64	n29	65.5	3.77e-98	348
n64	n26	65.1	4.92e-98	347
n64	n8	65.1	1.1e-97	346
n64	n13	64.7	1.87e-97	346
n64	n31	64.7	2.7e-96	342
n64	n12	64.7	2.7e-96	342
n64	n14	64.7	2.7e-96	342
n64	n45	64.7	2.7e-96	342
n64	n10	64.7	7.86e-96	340
n64	n25	64.3	7.86e-96	340
n64	n2	62.2	8.69e-95	337
n64	n54	61.8	1.48e-94	336
n64	n23	63.6	1.48e-94	336
n64	n56	57.9	4.32e-86	308
n64	n57	57.1	2.14e-85	305
n64	n32	57.6	2.8e-85	305
n64	n55	56.3	2.37e-84	302
n64	n28	56.2	1.88e-81	292
n64	n33	60.9	2.71e-80	289
n64	n34	59.7	7.39e-78	280
n64	n18	53.0	1.44e-73	266
n64	n42	51.3	3.21e-73	265
n64	n51	51.9	1.03e-71	260
n64	n58	51.2	3.01e-71	258
n64	n7	50.2	1.95e-70	256
n64	n36	49.4	6.27e-69	251
n64	n61	48.7	1.4e-68	250
n64	n19	47.2	1.54e-67	246
n64	n4	48.5	4.49e-67	245
n64	n60	47.6	6.49e-66	241
n64	n1	48.5	4.2e-65	238
n64	n47	47.9	2.09e-64	236
n64	n21	47.9	2.09e-64	236
n64	n59	45.1	6.07e-64	234
n64	n41	45.7	5.68e-62	228
n64	n20	44.7	1.11e-57	213
n64	n43	39.9	6.52e-50	188
n64	n50	31.5	2.18e-29	119
n64	n40	29.3	3.98e-23	99
n64	n63	28.0	1.28e-21	94
n64	n38	26.9	3.5e-11	59
n64	n17	31.8	0.000142	37
n64	n37	28.1	0.000922	34
n64	n49	29.3	0.000922	34
n64	n39	26.9	0.0387	29
n64	n39	22.1	0.0506	28
n64	n49	30.5	0.113	27
n63	n40	46.9	3.65e-70	255
n63	n18	31.4	1.23e-33	134
n63	n42	28.9	6.29e-30	121
n63	n47	29.6	1e-27	114
n63	n21	29.6	1e-27	114
n63	n59	28.6	1.31e-27	114
n63	n1	29.5	1.71e-27	113
n63	n4	29.0	1.71e-27	113
n63	n46	31.2	1.11e-26	111
n63	n15	31.2	1.11e-26	111
n63	n44	31.2	1.11e-26	111
n63	n7	30.7	5.51e-26	108
n63	n45	30.5	4.67e-25	105
n63	n26	31.1	4.67e-25	105
n63	n14	30.5	4.67e-25	105
n63	n2	28.8	4.67e-25	105
n63	n11	31.1	6.1e-25	105
n63	n30	31.1	6.1e-25	105
n63	n8	31.1	6.1e-25	105
n63	n61	27.6	1.04e-24	104
n63	n54	28.4	1.04e-24	104
n63	n25	30.1	1.04e-24	104
n63	n29	30.1	2.32e-24	103
n63	n13	31.1	2.32e-24	103
n63	n57	31.4	3.95e-24	102
n63	n56	31.1	3.95e-24	102
n63	n9	28.1	1.15e-23	101
n63	n55	30.9	1.96e-23	100
n63	n10	30.2	7.45e-23	98
n63	n12	29.8	7.45e-23	98
n63	n31	29.8	7.45e-23	98
n63	n22	27.8	9.73e-23	97
n63	n27	27.8	9.73e-23	97
n63	n33	29.7	1.66e-22	97
n63	n16	28.1	2.17e-22	96
n63	n24	28.1	2.17e-22	96
n63	n58	29.6	2.83e-22	96
n63	n6	28.9	2.83e-22	96
n63	n23	27.0	2.83e-22	96
n63	n53	26.8	1.84e-21	93
n63	n51	26.4	1.84e-21	93
n63	n60	26.6	3.13e-21	92
n63	n28	26.3	4.09e-21	92
n63	n19	26.1	5.34e-21	92
n63	n5	26.8	9.11e-21	91
n63	n36	27.0	9.11e-21	91
n63	n32	26.8	9.11e-21	91
n63	n20	30.5	9.11e-21	91
n63	n62	28.4	1.55e-20	90
n63	n52	26.4	4.52e-20	89
n63	n41	25.3	7.71e-20	88
n63	n34	25.5	1.45e-18	84
n63	n50	26.3	2.48e-18	83
n63	n43	21.8	4.1e-13	65
n63	n38	26.7	1.01e-11	61
n63	n49	27.3	0.0947	28
n62	n53	74.8	5.92e-115	404
n62	n52	71.7	5.73e-110	387
n62	n6	69.0	2.26e-106	375
n62	n54	70.2	2.95e-106	375
n62	n2	69.3	2.11e-104	369
n62	n5	68.2	2.33e-103	365
n62	n16	69.0	1.28e-101	359
n62	n9	64.8	7.03e-100	354
n62	n24	65.5	2.04e-99	352
n62	n29	63.5	2.5e-97	345
n62	n15	63.5	7.27e-97	344
n62	n46	63.5	7.27e-97	344
n62	n44	63.5	7.27e-97	344
n62	n11	63.6	1.62e-96	342
n62	n30	63.6	1.62e-96	342
n62	n57	64.7	3.61e-96	341
n62	n56	64.7	6.16e-96	341
n62	n22	63.3	8.04e-96	340
n62	n27	63.3	8.04e-96	340
n62	n14	62.7	1.05e-95	340
n62	n45	62.7	1.05e-95	340
n62	n8	62.7	1.79e-95	339
n62	n55	64.1	1.79e-95	339
n62	n26	62.8	1.79e-95	339
n62	n31	62.8	2.34e-95	339
n62	n12	62.8	2.34e-95	339
n62	n13	62.5	3.06e-95	338
